m2_rg	rgid	rg		m2_rg_history	112	core_match
m2_rg_history	rgid	rg		m2_rg	118	direct_exact
m2_rg_history	rgid	rg		m2_rg_detail	112	core_match
m2_rg_history	rgid	rg		m2_rg_detail_history	112	core_match
m2_rgc	rgcid	rgc		m2_rgc_detail	112	core_match
m2_rgc	rgcid	rgc		m2_rgc_detail_history	112	core_match
m2_rgc	rgcid	rgc		m2_rgc_history	112	core_match
m2_rgc_history	rgcid	rgc		m2_rgc	118	direct_exact
m2_rgc_history	rgcid	rgc		m2_rgc_detail	112	core_match
m2_rgc_history	rgcid	rgc		m2_rgc_detail_history	112	core_match
m2_rm	rmid	rm		m2_rm_detail	112	core_match
m2_rm	rmid	rm		m2_rm_detail_history	112	core_match
m2_rm	rmid	rm		m2_rm_history	112	core_match
m2_rm_history	rmid	rm		m2_rm	118	direct_exact
m2_rm_history	rmid	rm		m2_rm_detail	112	core_match
m2_rm_history	rmid	rm		m2_rm_detail_history	112	core_match
m2_sg	sgid	sg		m2_sg_detail	112	core_match
m2_sg	sgid	sg		m2_sg_detail_history	112	core_match
m2_sg	sgid	sg		m2_sg_history	112	core_match
m2_sg_history	sgid	sg		m2_sg	118	direct_exact
m2_sg_history	sgid	sg		m2_sg_detail	112	core_match
m2_sg_history	sgid	sg		m2_sg_detail_history	112	core_match
m2_sgc	sgcid	sgc		m2_sgc_detail	112	core_match
m2_sgc	sgcid	sgc		m2_sgc_detail_history	112	core_match
m2_sgc	sgcid	sgc		m2_sgc_history	112	core_match
m2_sgc_history	sgcid	sgc		m2_sgc	118	direct_exact
m2_sgc_history	sgcid	sgc		m2_sgc_detail	112	core_match
m2_sgc_history	sgcid	sgc		m2_sgc_detail_history	112	core_match
m2_sm	smid	sm		m2_sm_detail	112	core_match
m2_sm	smid	sm		m2_sm_detail_history	112	core_match
m2_sm	smid	sm		m2_sm_history	112	core_match
m2_sm_history	smid	sm		m2_sm	118	direct_exact
m2_sm_history	smid	sm		m2_sm_detail	112	core_match
m2_sm_history	smid	sm		m2_sm_detail_history	112	core_match
m2r_analisa_penyusutan	auserid	auser	user	m0_user	100	alias_core
m2r_analisa_penyusutan	auserid	auser	user	users	99	token_match
m2r_analisa_penyusutan	auserid	auser	user	m0_user_branch	88	token_match
m2r_anggaran	nmuserid	nmuser	user	m0_user	100	alias_core
